mlbamID,playerName,team,league,defaultPos,W,L,S,IP,H,R,ER,HR,BB,K,HBP,G_SP,G_RP
349193,Will Ohman,BAL,NL,RP,1,2,0,25,22,12,11,3,11,22,1,0,21
400008,Gary Majewski,HOU,NL,RP,2,3,0,46,55,30,26,5,19,29,1,0,0
400010,Jon Rauch,MIN,AL,RP,5,3,14,75,76,35,33,8,21,55,1,0,75
400058,Brad Lidge,PHI,NL,RP,2,3,27,44,44,26,23,6,23,51,3,0,67
400061,Roy Oswalt,HOU,NL,SP,11,10,0,193,196,87,80,19,46,148,8,30,0
400062,Tim Redding,COL,NL,SP,5,6,0,95,105,61,57,14,36,60,2,17,13
400063,Dave Williams,WAS,NL,RP,2,5,0,59,66,38,35,9,23,41,3,0,0
400066,Franklin Nunez,COL,NL,RP,1,2,0,28,32,21,19,3,20,19,0,0,0
400067,Carlos Silva,CHN,NL,SP,3,5,0,68,82,46,42,9,16,34,3,6,2
400076,Shane Loux,HOU,NL,SP,2,4,0,56,68,35,30,5,22,25,2,6,12
400089,Rafael Soriano,TBA,AL,RP,4,3,30,59,42,23,22,6,19,67,1,0,77
400093,Duaner Sanchez,,,RP,2,2,0,33,30,17,17,5,15,21,2,0,13
400104,Tyler Walker,WAS,NL,RP,2,2,0,32,29,14,14,4,10,27,1,0,32
400125,Jesus Colome,SEA,AL,RP,1,3,0,33,35,20,18,4,13,25,1,0,21
400130,Scott Chiasson,BAL,AL,RP,1,1,0,14,15,8,8,2,5,10,0,0,0
400141,Horacio Ramirez,SFN,NL,RP,2,3,0,47,57,32,28,6,16,20,1,1,18
400147,Brian Lawrence,FLO,NL,SP,4,5,0,84,87,44,39,9,24,45,0,0,0
400156,Ricardo Rodriguez,LAA,AL,SP,4,8,0,110,136,78,69,17,37,59,2,0,0
400291,Dustin Moseley,NYA,AL,SP,3,4,0,61,77,43,38,10,20,35,1,3,0
406301,Chad Paronto,BOS,AL,RP,2,1,0,31,32,15,13,3,10,22,0,0,6
406402,Jorge Julio,,,RP,2,1,0,30,27,17,16,3,21,28,2,0,15
406550,Jamie Burke,WAS,NL,C,1,1,0,17,17,9,8,2,6,12,1,15,-15
406874,Joe Nelson,BOS,AL,RP,2,2,0,34,32,20,19,5,18,31,1,0,42
407113,Justin Duchscherer,OAK,AL,SP,3,3,0,53,44,22,20,5,14,37,2,0,0
407154,Casey Fossum,,,RP,3,4,0,59,63,41,37,9,28,47,1,0,3
