playerName,mlbamID,Tm,Lg,Pos
Alberto Bastardo,460371,LAN,NL,SP
Chad Billingsley,451532,LAN,NL,SP
Jose Capellan,570626,LAN,NL,SP
Chris Capuano,425626,LAN,NL,SP
Ryan Christenson,518551,LAN,NL,SP
Derek Cone,595163,LAN,NL,SP
Rubby De La Rosa,523989,LAN,NL,SP
Jose Dominguez,523848,LAN,NL,SP
John Ely,518655,LAN,NL,SP
Nathan Eovaldi,543135,LAN,NL,SP
Dana Eveland,445968,LAN,NL,SP
Stephen Fife,543155,LAN,NL,SP
Gustavo Gomez,530037,LAN,NL,SP
Garrett Gould,545340,LAN,NL,SP
Aaron Harang,421685,LAN,NL,SP
Randy Keisler,342892,LAN,NL,SP
Clayton Kershaw,477132,LAN,NL,SP
Zach Lee,545346,LAN,NL,SP
Ted Lilly,150404,LAN,NL,SP
Matt Magill,543483,LAN,NL,SP
Ethan Martin,543495,LAN,NL,SP
Brandon Martinez,571920,LAN,NL,SP
Luis Mesa,554347,LAN,NL,SP
Aaron Miller,475572,LAN,NL,SP
Arismendy Ozoria,570628,LAN,NL,SP
Mike Parisi,449157,LAN,NL,SP
Red Patterson,572017,LAN,NL,SP
Jon Michael Redding,543683,LAN,NL,SP
Andres Santiago,519246,LAN,NL,SP
Will Savage,501824,LAN,NL,SP
Timothy Sexton,519275,LAN,NL,SP
Ian Snell,430636,LAN,NL,SP
Allen Webster,543903,LAN,NL,SP
Greg Wilborn,572261,LAN,NL,SP
Chris Withrow,519437,LAN,NL,SP
Carlos Zambrano,407296,MIA,NL,SP
Jeff Allison,456414,MIA,NL,SP
Jose Alvarez,501625,MIA,NL,SP
Austin Brice,592169,MIA,NL,SP
Mark Buehrle,279824,MIA,NL,SP
Alex Caldera,518521,MIA,NL,SP
Ramon Del Orbe,570631,MIA,NL,SP
Brad Hand,543272,MIA,NL,SP
Shawn Hill,429718,MIA,NL,SP
Josh Hodges,572925,MIA,NL,SP
Chad James,545345,MIA,NL,SP
Josh Johnson,435178,MIA,NL,SP
Tom Koehler,543408,MIA,NL,SP
Jheyson Manzueta,542694,MIA,NL,SP
Matthew Montgomery,571956,MIA,NL,SP
Robert Morey,519049,MIA,NL,SP
Zach Neal,594943,MIA,NL,SP
Ricky Nolasco,445060,MIA,NL,SP
Alan Oaks,502062,MIA,NL,SP
Joseph O'Gara,573070,MIA,NL,SP
Edgar Olmos,543607,MIA,NL,SP
Thomas Peale,572022,MIA,NL,SP
Omar Poveda,452326,MIA,NL,SP
Rob Rasmussen,519169,MIA,NL,SP
Helpi Reyes,570634,MIA,NL,SP
Jose Rodriguez,542754,MIA,NL,SP
Jared Rogers,502681,MIA,NL,SP
Alex Sanabia,502253,MIA,NL,SP
Anibal Sanchez,434671,MIA,NL,SP
Graham Taylor,501869,MIA,NL,SP
Dallas Trahern,448249,MIA,NL,SP
Jose Urena,570632,MIA,NL,SP
Rett Varner,572224,MIA,NL,SP
Elih Villanueva,534631,MIA,NL,SP
Sean West,476811,MIA,NL,SP
Kyle Winters,489434,MIA,NL,SP
Evan Anundsen,502250,MIL,NL,SP
Eric Arnett,571451,MIL,NL,SP
Michael Bowman,542958,MIL,NL,SP
Nicholas Bucci,542984,MIL,NL,SP
Hiram Burgos,572744,MIL,NL,SP
Josh Butler,453332,MIL,NL,SP
Eulogio de la Cruz,448842,MIL,NL,SP
Jameson Dunn,600893,MIL,NL,SP
Michael Fiers,571666,MIL,NL,SP
Yovani Gallardo,451596,MIL,NL,SP
Zack Greinke,425844,MIL,NL,SP
Brooks Hall,571736,MIL,NL,SP
Kyle Heckathorn,571762,MIL,NL,SP
Del Howell,501848,MIL,NL,SP
Maverick Lasker,543430,MIL,NL,SP
Shaun Marcum,451788,MIL,NL,SP
Dan Merklinger,519022,MIL,NL,SP
Matthew Miller,594579,MIL,NL,SP
Sam Narron,433897,MIL,NL,SP
Chris Narveson,429780,MIL,NL,SP
Jimmy Nelson,519076,MIL,NL,SP
Manny Parra,448159,MIL,NL,SP
Wily Peralta,503449,MIL,NL,SP
Amaury Rivas,455361,MIL,NL,SP
Mark Rogers,449161,MIL,NL,SP
Austin Ross,592697,MIL,NL,SP
Jeffrey Saba,593787,MIL,NL,SP
Jesus Sanchez,466454,MIL,NL,SP
Cody Scarpetta,519255,MIL,NL,SP
Kevin Shackelford,594992,MIL,NL,SP
Tyler Thornburg,592804,MIL,NL,SP
Josh Wilson,425543,MIL,NL,SP
Randy Wolf,150116,MIL,NL,SP
Chase Wright,451657,MIL,NL,SP
A.J. Achter,592091,MIN,AL,SP
Ricardo Arevalo,570673,MIN,AL,SP
Tim Atherton,544381,MIN,AL,SP
Scott Baker,435044,MIN,AL,SP
Andrew Baldwin,456703,MIN,AL,SP
Nick Blackburn,448147,MIN,AL,SP
David Bromberg,488735,MIN,AL,SP
Logan Darnell,592244,MIN,AL,SP
Pat Dean,534737,MIN,AL,SP
Scott Diamond,539438,MIN,AL,SP
Brian Duensing,488846,MIN,AL,SP
Nathan Fawbush,592297,MIN,AL,SP
Kyle Gibson,502043,MIN,AL,SP
Deolis Guerra,500610,MIN,AL,SP
Pedro Guerra,514854,MIN,AL,SP
Eric Hacker,459345,MIN,AL,SP
Liam Hendriks,521230,MIN,AL,SP
B.J. Hermsen,543297,MIN,AL,SP
Steve Hirschfeld,449176,MIN,AL,SP
Edgar Ibarra,500891,MIN,AL,SP
Bobby Lanigan,543427,MIN,AL,SP
