mlbamID,playerName,team,league,defaultPos,Age,W,L,S,G,GS,IP,H,R,ER,HR,BB,K,WP,HBP,G_SP,G_RP
447835,Andy Schindling,,,,23,0,3,,13,1,17,26,22,20,6,15,10,4,0,,
447842,Jamie Richmond,,,,23,4,8,,37,11,98,128,80,70,22,24,43,11,0,,
448147,Nick Blackburn,MIN,AL,SP,27,9,9,,28,27,166,194,89,80,19,35,80,3,3,33,0
448151,Kody Kirkland,ATL,NL,3B,26,0,0,,9,0,10,10,5,4,1,4,7,0,0,,
448159,Manny Parra,MIL,NL,SP,27,7,6,,18,17,94,102,58,50,10,50,78,5,1,27,0
448165,Matt Capps,WAS,NL,RP,26,4,6,25,60,0,60,69,32,28,9,14,48,1,3,0,57
448167,Brandon Mann,TBA,AL,SP,25,5,10,,26,22,121,149,93,83,17,60,55,6,0,,
448178,Kevin Jepsen,LAA,AL,RP,25,3,3,,34,0,37,43,25,22,3,22,29,4,0,0,54
448179,Rich Hill,,,SP,29,3,3,,11,11,53,57,35,32,6,30,44,2,2,13,1
448180,Adam Harben,,,,26,2,4,,16,10,55,62,42,40,5,55,31,12,0,,
448200,Chris Sampson,HOU,NL,RP,31,3,2,,33,4,57,63,30,27,5,15,31,1,1,0,49
448235,Craig Whitaker,SFN,NL,RP,25,1,2,,35,1,43,44,34,34,5,52,31,16,0,,
448249,Dallas Trahern,FLO,NL,SP,24,4,6,,14,14,79,89,53,48,10,39,44,2,0,,
448252,Kyle Waldrop,MIN,AL,RP,24,5,7,,47,7,97,122,66,56,8,36,38,7,0,,
448266,James Adkins,LAN,NL,SP,24,5,9,,24,23,115,129,81,76,13,76,58,12,0,,
448269,Brad Bergesen,BAL,AL,SP,24,5,6,,15,15,90,112,55,49,10,25,42,3,2,19,0
448289,Rafael Gonzalez,,,,23,2,10,,18,16,76,104,86,80,28,60,40,10,0,,
448306,James Shields,TBA,AL,SP,28,11,10,,30,30,199,202,97,89,25,45,153,5,5,33,0
448322,Ian Ostlund,SLN,NL,RP,31,2,2,,34,1,55,60,34,30,9,21,40,2,0,,
448337,Josh Kinney,SLN,NL,RP,30,1,2,,27,0,29,29,17,16,4,16,25,4,1,0,17
448592,Cla Meredith,BAL,AL,RP,26,3,2,,54,0,55,63,29,27,4,18,34,2,2,0,64
448594,Ryan Moorer,,,,23,2,4,,38,2,54,69,42,38,6,38,20,10,0,,
448609,Tony Sipp,CLE,AL,RP,26,2,1,,30,0,31,27,17,15,4,18,33,4,0,0,46
448623,Garrett Broshuis,SFN,NL,SP,28,7,12,,26,23,131,155,88,78,19,43,61,3,0,,
448652,Justin Phillabaum,,,,23,2,3,,35,0,57,64,44,41,11,39,37,12,0,,
448653,John Poppert,,,,27,0,0,,9,0,9,10,5,5,1,4,7,0,0,,
448656,Chad Reineke,CIN,NL,SP,27,3,5,,17,13,72,84,54,49,14,33,44,5,1,1,0
448665,Jack Spradlin,WAS,NL,RP,25,4,4,,46,3,71,75,42,37,7,30,45,8,0,,
448693,Ross Wolf,BAL,AL,RP,27,2,4,,43,0,56,69,40,35,6,26,33,3,0,,
448694,Randy Wells,CHN,NL,SP,27,6,5,,18,14,88,90,44,41,9,28,59,2,2,27,0
448722,Juan Perez,LAN,NL,RP,28,1,3,,36,0,40,39,27,25,7,29,39,6,0,,
448750,David Pfeiffer,,,,24,3,4,,36,1,52,54,30,27,3,31,31,2,0,,
448753,Justin Berg,CHN,NL,RP,25,3,4,,28,7,58,62,37,35,5,35,28,6,0,0,11
448802,Jaime Garcia,SLN,NL,SP,23,3,4,,13,10,60,59,34,32,8,30,45,7,1,,
448814,Trent Lare,,,,25,5,5,,14,14,78,90,48,42,10,22,50,6,1,,
448833,Chris Barnwell,PIT,NL,SS,30,0,0,,10,0,10,12,7,7,2,6,8,0,0,,
448842,Eulogio De La Cruz,SDN,NL,RP,25,0,0,,9,0,10,11,8,7,1,9,7,1,0,0,3
448854,Carlos Rivas,,,,25,3,5,,27,5,54,59,39,35,6,43,31,11,0,,
448857,Jose Ascanio,PIT,NL,RP,24,2,2,,21,4,38,40,22,19,3,17,31,2,1,0,16
