mlbamID,playerName,team,league,IP,W,L,S,H,R,ER,HR,K,BB,IBB,HBP,WP,BK,G_SP,G_RP
452657,Jon Lester,BOS,AL,210.33,16,6,0,202,63,75,14,152,66,1,2,2,1,33,0
452676,Mitch Talbot,TBA,AL,9.67,0,0,0,16,26,12,3,5,11,1,0,5,0,1,2
452718,Kyle Kendrick,PHI,NL,155.67,11,9,0,194,58,95,23,68,57,3,4,2,0,30,1
452724,Billy Sadler,SFN,NL,44.33,0,1,0,34,37,20,6,42,27,2,0,1,1,0,33
452725,Wes Littleton,BOS,AL,18,0,0,0,18,41,12,1,14,8,0,4,3,0,0,12
452733,Tom Gorzelanny,PIT,NL,105.33,6,9,0,120,53,78,20,67,70,1,3,4,0,21,0
453178,Ian Kennedy,NYA,AL,39.67,0,4,0,50,34,36,5,27,26,1,1,1,0,9,1
453192,Andrew Miller,FLO,NL,107.33,6,10,0,120,24,70,7,89,56,3,3,1,0,20,9
453198,Chris Perez,SLN,NL,41.67,3,3,7,34,27,16,5,42,22,3,1,1,0,0,41
453281,Wade LeBlanc,SDN,NL,21.33,1,3,0,29,24,19,7,14,15,3,2,2,1,4,1
453286,Max Scherzer,ARI,NL,56,0,4,0,48,9,19,5,66,21,2,0,3,0,7,9
453311,Tim Lincecum,SFN,NL,227,18,5,0,182,6,66,11,265,84,0,1,4,0,33,1
453329,Clay Buchholz,BOS,AL,76,2,9,0,93,29,57,11,72,41,5,3,3,0,15,1
453344,Brandon Morrow,SEA,AL,64.67,3,4,10,40,4,24,10,75,34,0,1,0,0,5,40
453353,Greg Reynolds,COL,NL,62,2,8,0,83,8,56,14,22,26,1,0,0,0,13,1
453385,Clayton Richard,WAS,NL,47.67,2,5,0,61,8,32,5,29,13,0,1,0,0,8,5
453515,David Purcey,TOR,AL,65,3,6,0,67,12,40,9,58,29,0,0,1,0,12,0
453646,Carlos Villanueva,MIL,NL,108.33,4,7,1,112,31,49,18,93,30,3,1,6,0,9,38
453889,Matt Chico,WAS,NL,48,0,6,0,63,18,33,10,31,17,0,0,4,1,8,3
453954,Kevin Hart,CHN,NL,27.67,2,2,0,39,4,20,2,23,18,0,1,0,0,0,21
454535,Clay Hensley,HOU,NL,39,1,2,0,36,90,23,2,26,25,1,7,7,0,1,31
454537,Jared Burton,CIN,NL,58.67,5,1,0,56,17,21,6,58,25,0,1,0,0,0,54
454581,Carlos Guevara,SDN,NL,12.33,1,0,0,13,34,8,2,11,9,0,1,1,0,0,10
454972,Romulo Sanchez,PIT,NL,13.33,0,0,1,14,1,6,0,3,6,0,0,0,0,0,10
455009,Jonathan Broxton,LAN,NL,69,3,5,14,54,0,24,2,88,27,1,0,1,0,0,70
455047,Jeff Ridgway,ATL,NL,9.67,1,0,0,7,101,4,3,8,1,1,14,6,1,0,10
455091,Michael Ekstrom,SDN,NL,9.67,0,2,0,14,13,8,2,6,7,0,0,2,0,0,8
455092,Scott Elbert,LAN,NL,6,0,1,0,9,94,8,2,8,4,2,1,2,0,0,10
455970,Bob McCrory,BAL,AL,6.33,0,0,0,10,9,11,0,5,8,1,2,0,1,0,8
456027,Ross Ohlendorf,PIT,NL,62.67,1,4,0,86,116,45,10,49,31,6,13,13,0,5,25
456034,David Price,TBA,AL,14,0,0,0,9,9,3,1,12,4,0,0,0,0,1,4
456043,Jonathan Sanchez,SFN,NL,158,9,12,0,154,36,88,14,157,75,1,0,4,1,29,0
456102,David Pauley,BAL,AL,12.33,0,1,0,23,3,16,2,11,5,0,0,0,0,2,4
456387,Ryan Feierabend,SEA,AL,39.67,1,4,0,59,15,34,7,26,14,3,1,4,0,8,0
