mlbamID,playerName,team,league,defaultPos,age,AB,R,H,2B,3B,HR,BB,HBP,SF,SH,RBI,SO,SB,CS,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF
,Daniel Hargrave,,,,22,220,20,42,9,0,4,10,2,1,3,17,68,2,0,,,,,,,,,
,Daniel Mayora,,,,23,430,50,114,29,1,7,23,7,2,5,38,46,2,3,,,,,,,,,
,Daniel Nelson,,,,24,143,12,27,8,0,1,14,1,2,1,19,26,2,0,,,,,,,,,
,Daniel Perales,,,,23,392,38,87,22,3,9,23,3,3,1,38,50,2,1,,,,,,,,,
,Daniel Rodriguez,,,,21,90,8,19,4,0,2,9,2,0,1,7,29,1,0,,,,,,,,,
,Daniel Stegall,,,,20,186,14,34,5,1,2,8,2,1,1,12,28,1,1,,,,,,,,,
,Danny Carroll,,,,19,216,21,41,6,1,2,10,6,1,1,13,74,14,6,,,,,,,,,
,Danny Cox,,,,22,57,6,11,2,0,1,5,0,0,0,5,10,1,0,,,,,,,,,
,Danny Dorn,,,,24,387,57,99,22,1,19,32,7,3,1,56,56,1,0,,,,,,,,,
,Danny Espinosa,,,,21,125,12,30,5,0,1,12,2,0,1,10,34,2,1,,,,,,,,,
,Danny Figueroa,,,,25,313,38,70,9,1,2,31,7,2,5,20,47,8,3,,,,,,,,,
,Danny Hamblin,,,,23,176,18,33,8,1,5,14,2,2,1,24,22,0,0,,,,,,,,,
,Danny Jordan,,,,22,128,10,28,4,0,4,10,1,1,0,14,30,2,0,,,,,,,,,
,Danny Klassen,,,,32,237,24,58,10,1,4,20,3,2,1,25,22,0,1,,,,,,,,,
,Danny Lehmann,,,,22,274,24,55,9,1,2,19,5,1,2,16,39,2,3,,,,,,,,,
,Danny Meier,,,,22,383,30,69,9,0,9,16,6,0,4,35,179,3,7,,,,,,,,,
,Danny Payne,,,,22,177,14,31,5,1,2,27,2,1,1,15,34,1,1,,,,,,,,,
,Danny Putnam,,,,25,291,34,64,16,1,9,30,4,0,1,43,43,1,1,,,,,,,,,
,Danny Sandoval,,,,30,373,36,91,13,1,5,16,2,1,4,32,35,3,1,,,,,,,,,
,Danny Valencia,,,,23,472,52,115,26,1,12,27,1,4,1,55,72,2,2,,,,,,,,,
,Danny Worth,,,,22,269,31,60,13,1,3,21,2,2,2,24,40,4,0,,,,,,,,,
,Dante Brinkley,,,,26,338,41,72,15,1,9,33,10,1,1,33,52,2,2,,,,,,,,,
,Dante Love,,,,21,165,14,26,7,0,2,12,1,2,1,15,30,0,0,,,,,,,,,
,D'Arby Myers,,,,19,325,36,71,13,1,3,14,2,1,2,19,59,7,3,,,,,,,,,
,Darin Holcomb,,,,22,415,60,120,33,0,10,32,6,3,1,57,43,3,3,,,,,,,,,
,Darin Mastroianni,,,,22,299,35,60,10,1,3,23,3,2,2,21,60,13,1,,,,,,,,,
,Darin McDonald,,,,20,103,12,23,4,0,2,6,1,0,1,9,29,1,2,,,,,,,,,
,Daron Roberts,,,,25,372,40,86,20,1,9,12,7,2,1,41,51,5,3,,,,,,,,,
,Darren Blocker,,,,21,137,14,28,6,0,2,8,1,1,0,12,41,2,3,,,,,,,,,
,Darren Clark,,,,24,164,11,38,8,0,2,8,1,0,0,15,26,1,1,,,,,,,,,
,Darren Ford,,,,22,466,53,97,19,1,5,48,2,2,7,34,61,18,5,,,,,,,,,
,Darrick Hale,,,,23,74,6,18,3,0,1,5,1,0,1,7,13,1,0,,,,,,,,,
,Darryl Lawhorn,,,,25,226,19,48,10,1,4,14,0,2,0,22,41,1,1,,,,,,,,,
,Darwin Perez,,,,19,75,6,18,5,0,1,6,1,1,1,8,12,1,0,,,,,,,,,
,Daryl Jones,SLN,NL,OF,21,509,49,121,18,3,9,35,10,2,2,42,57,8,3,,,,,,,,,
,Dave Hansen,,,,40,231,18,53,9,1,6,21,2,3,3,31,42,2,1,,,,,,,,,
,Dave Krynzel,,,,26,121,13,28,6,1,3,11,1,0,2,12,6,0,0,,,,,,,,,
,Dave Matranga,,,,32,228,28,53,8,1,6,18,4,1,4,23,25,1,1,,,,,,,,,
