mlbamID,PA,Name
407832,169,Wilson Valdez
537953,171,Daniel Nava
518794,167,Brandon Hicks
488919,167,Taylor Green
461865,166,Andrew Romine
453228,165,Jason Donald
449786,164,Carlos Corporan
519222,162,Austin Romine
465668,162,Roger Bernadina
150449,159,Rick Ankiel
543228,157,Yan Gomes
500871,155,Eduardo Escobar
435078,155,Joaquin Arias
455755,157,Chris Stewart
543432,156,Ryan Lavarnway
435220,154,Ryan Sweeney
429710,154,Chad Tracy
430910,152,Brayan Pena
488810,152,Tony Cruz
572041,151,A. J. Pollock
543569,151,Brent Morel
571431,150,Matthew Adams
571448,150,Nolan Arenado
518500,150,Andrew Brown
446208,150,Luis Martinez
502143,145,Danny Valencia
445599,146,Scott Moore
477054,145,Trayvon Robinson
434624,144,Jayson Nix
543742,144,Jerry Sands
451109,140,Brett Hayes
460131,140,Brian Bogusevic
113028,140,Johnny Damon
519390,135,Stephen Vogt
279827,132,Humberto Quintero
453454,139,Mike McCoy
456665,137,Steve Pearce
489232,135,Anthony Recker
518545,135,Adron Chambers
519299,135,Eric Sogard
465041,135,Francisco Cervelli
518577,133,Collin Cowgill
518902,132,Pete Kozma
468429,132,Jose Constanza
543238,131,Anthony Gose
572821,131,Brian Dozier
449082,131,Xavier Paul
474319,130,Brandon Snyder
508892,127,Carlos Triunfel
489242,127,Will Rhymes
425773,127,Casey Kotchman
453203,121,Shane Robinson
471107,121,Elliot Johnson
114739,119,Jason Giambi
493120,119,Kosuke Fukudome
430965,117,Chris Snyder
276354,117,Matt Treanor
110029,116,Bobby Abreu
430574,114,Mitch Maier
431159,114,Kelly Shoppach
430930,114,Fred Lewis
462405,113,Brooks Conrad
502249,113,Lars Anderson
455167,113,Shelley Duncan
425686,113,Hideki Matsui
136660,112,Mark DeRosa
276346,112,Brandon Inge
150456,112,Adam Kennedy
150411,112,Brian Schneider
150021,111,Darnell McDonald
430917,111,Mike Fontenot
501888,111,Ryan Kalish
471863,111,Luke Hughes
111072,111,Henry Blanco
430603,110,Don Kelly
430906,110,Donnie Murphy
431171,110,Casey McGehee
453303,110,Matt Downs
408108,110,Freddy Sanchez
429841,110,Matt Diaz
430592,110,Ronny Cedeno
111867,109,Miguel Cairo
502161,109,Scott Cousins
446192,109,Adam Moore
502582,109,Logan Schafer
425557,108,Jeff Baker
430652,108,Jason Bourgeois
435520,107,Jesus Flores
435358,106,Yuniesky Betancourt
452121,100,Brent Lillibridge
346795,98,Endy Chavez
519107,91,Andrew Parrino
518934,85,D. J. LeMahieu
517370,84,Jimmy Paredes
408042,84,Gerald Laird
477186,75,Brandon Laird
407781,54,Marlon Byrd
571602,0,Matthew Davidson
572008,0,Chris Owings
543685,0,Anthony Rendon
570805,0,Oscar Taveras
,,0 570805
