mlbamID,playerName,team,league,defaultPos,W,L,BFP,IP,H,HR,BB,K,HBP,R,ER,Age,G_SP,G_RP
,Benjamin Fritz,,,,3,5,310,67,84,14,30,29,3,51,47,28,,
,Benjamin Snyder,,,,3,7,415,92,105,16,42,58,3,61,56,23,,
,Bill Edwards,,,,1,3,198,41,49,7,27,23,3,32,30,28,,
,Blaine Neal,PHI,NL,RP,2,2,184,42,42,6,19,36,2,23,21,31,,
,Blair Erickson,,,,1,2,141,30,33,6,20,23,2,22,20,24,,
,Blair Johnson,,,,1,2,149,32,38,6,16,16,2,23,21,25,,
,Blake Hawksworth,SLN,NL,SP,5,7,469,107,110,17,45,77,6,62,57,26,,
,Blake Johnson,,,,4,9,518,112,143,22,46,55,7,85,79,24,,
,Blake King,,,,1,2,127,27,25,3,24,25,1,17,16,22,,
,Blake Maxwell,,,,3,3,253,57,65,7,21,25,3,34,31,24,,
,Blake Wood,KCA,AL,SP,3,6,392,85,99,14,43,60,5,59,55,23,,
,Bo Hall,,,,2,3,170,38,41,8,19,27,1,25,23,28,,
,Bob Keppel,MIN,AL,SP,6,9,610,136,156,19,57,70,6,85,79,27,,
,Bob Zimmermann,,,,1,2,124,27,30,5,16,17,1,19,18,27,,
,Bobby Bramhall,,,,2,2,172,39,39,6,20,33,1,23,21,23,,
,Bobby Livingston,,,,5,7,452,102,124,14,30,48,4,64,59,26,,
,Brad Furnish,,,,4,7,435,93,101,19,61,55,3,68,63,24,,
,Brad James,HOU,NL,SP,3,6,403,88,103,14,45,41,5,61,56,25,,
,Brad Kilby,OAK,AL,RP,3,4,267,61,60,9,27,48,3,34,31,26,,
,Brad Knox,,,SP,6,9,617,140,154,22,52,68,7,85,79,27,,
,Brad Lincoln,PIT,NL,SP,2,4,234,51,60,10,26,29,2,37,34,24,,
,Brad Salmon,,,,3,4,287,63,69,7,33,48,3,38,35,29,,
,Bradley Mills,,,,2,4,242,53,59,11,28,38,2,37,34,24,,
,Bradley Stone,,,,2,2,163,36,41,6,18,20,1,24,22,25,,
,Brae Wright,,,,5,8,542,120,137,19,57,67,5,79,73,25,,
,Branden Dewing,,,,1,3,149,31,38,6,20,12,1,25,23,25,,
,Brandon Camardese,,,,1,2,124,26,30,5,18,16,1,20,19,25,,
,Brandon Dickson,,,,4,8,492,106,125,18,59,54,4,76,70,24,,
,Brandon Durden,,,,4,8,485,104,135,22,47,48,4,82,76,24,,
,Brandon Erbe,,,,4,8,508,109,119,24,66,79,6,80,74,21,,
,Brandon Garner,,,,1,2,124,26,30,5,18,13,1,20,19,22,,
,Brandon Gomes,,,,1,2,124,28,28,4,13,22,1,16,15,24,,
,Brandon Hynick,,,,6,9,580,129,158,26,43,70,6,90,83,24,,
,Brandon Magee,,,,4,9,559,120,147,23,63,43,5,91,84,25,,
,Brandon Mann,,,,4,8,466,100,118,22,54,56,5,76,70,25,,
,Brandon Nall,,,,2,2,170,38,40,5,17,26,3,22,20,27,,
,Brandon Puffer,,,,3,3,232,52,61,8,20,29,2,33,31,33,,
,Brandon Tuten,,,,1,2,124,27,29,4,16,18,1,17,16,23,,
