mlbamID,newPA,newPA,PA,bisID,playerName,FG
400158,322,295,350,,Jay Gibbons,
456121,322,295,350,,Chris Denorfia,
435064,316,290,350,,Bobby Wilson,
460022,315,289,350,,Tyler Greene,
400134,315,289,390,1305,Eric Hinske,Y
294558,315,289,350,,Xavier Nady,
460099,314,288,438,3441,Nolan Reimold,Y
430917,312,286,350,,Mike Fontenot,
435625,305,280,,,Nate Schierholtz,T
123660,303,278,255,217,Jason Varitek,Y
217100,302,277,350,,Willie Bloomquist,
444844,301,276,350,,Jake Fox,
421124,300,275,350,,Ramon Santiago,
123744,296,272,350,,Omar Vizquel,
150456,295,271,,,Adam Kennedy,T
285131,293,269,360,656,Cesar Izturis,Y
150040,292,268,350,,Jose Molina,
430603,289,265,350,,Don Kelly,
434633,289,265,350,,John Baker,
346857,287,263,350,,Nick Punto,
425661,286,262,350,,Ronny Paulino,
407798,283,260,,,Ryan Langerhans,T
435220,282,259,446,6352,Ryan Sweeney,Y
435219,282,259,,,Jack Hannahan,T
435459,282,259,,,George Kottaras,T
451186,279,256,,,Lastings Milledge,T
446192,279,256,305,9362,Adam Moore,Y
150398,276,253,350,,Geoff Blum,
450315,276,253,,,Brandon Allen,T
456665,274,251,,,Steve Pearce,T
489267,273,250,350,,Adam Rosales,
457420,271,249,263,6592,Brandon Wood,Y
111072,270,248,350,,Henry Blanco,
430668,270,248,350,,Scott Hairston,
112116,267,245,340,513,Luis Castillo,Y
456715,266,244,555,9077,Lorenzo Cain,Y
400023,265,243,390,254,Aaron Rowand,Y
340393,263,241,350,,Ross Gload,
424325,263,241,350,,David Ross,
471107,263,241,350,,Elliot Johnson,
434705,262,240,350,,Jason Repko,
452221,259,238,350,,Eric Patterson,
460077,255,234,350,,Drew Butera,
430574,255,234,350,,Mitch Maier,
460579,250,67,570,4885,Nyjer Morgan,Y
135783,250,229,350,,Ramon Castro,
445196,250,227,350,,Matt Tolbert,
276354,250,203,350,,Matt Treanor,
407483,250,227,350,,Willie Harris,
150411,250,224,350,,Brian Schneider,
117276,250,222,350,,Mark Kotsay,
111867,250,223,350,,Miguel Cairo,
407862,250,228,,,Reed Johnson,T
136722,250,227,375,1079,Carlos Guillen,Y
439664,250,28,350,,John Lindsey,
460067,250,94,405,3402,Trevor Crowe,Y
488771,250,87,425,,Jason Castro,
457775,250,98,506,1965,Desmond Jennings,Y
518614,250,209,350,,Daniel Descalso,
524968,250,184,350,,Jesus Montero,
433217,250,223,350,,Andres Blanco,
150348,250,215,350,,John McDonald,
433582,250,223,350,,Conor Jackson,
447816,250,195,350,,Angel Sanchez,
435065,250,212,350,,Reggie Willits,
425900,250,207,350,,Dioner Navarro,
425542,250,212,350,,Koyie Hill,
458643,250,206,350,,Jose Morales,
465041,250,207,256,5275,Francisco Cervelli,Y
462405,250,206,350,,Brooks Conrad,
150021,250,190,350,,Darnell McDonald,
408042,250,205,350,,Gerald Laird,
464341,250,190,350,,Chin-lung Hu,
430930,250,216,455,4693,Fred Lewis,Y
430652,250,207,350,,Jason Bourgeois,
434630,250,197,350,,Eli Whiteside,
471863,250,191,350,,Luke Hughes,
461315,250,162,350,,Lucas May,
453974,250,187,350,,Lou Marson,
461874,250,159,350,,Craig Tatum,
458913,250,180,480,7158,Eric Young Jr.,Y
474892,250,192,408,9911,Chris Carter,Y
473234,250,184,350,,Tony Abreu,
471868,250,161,350,,Alberto Gonzalez,
447736,250,47,350,,Chris Dickerson,
453303,250,153,350,,Matt Downs ,
279913,250,170,350,,Corey Patterson,
518625,250,185,350,,Matt Dominguez,
460267,250,107,350,,Brandon Boggs,
448170,250,165,350,,Travis Ishikawa,
453454,250,160,350,,Mike McCoy,
472528,250,154,350,,Luis Valbuena,
452035,250,129,366,49,Kyle Blanks,Y
449082,250,147,350,,Xavier Paul,
325392,250,142,350,,Scott Podsednik,
425556,250,161,350,,Laynce Nix,
501888,250,144,303,6962,Ryan Kalish,Y
453923,250,151,350,,Gregor Blanco,
445169,250,150,350,,Landon Powell,
453531,250,176,350,,Rob Johnson,
425543,250,111,215,2102,Josh Wilson,Y
400073,250,103,350,,Oscar Salazar,
446044,250,144,350,,Josh Rodriguez,
434624,250,133,350,,Jayson Nix,
451143,250,87,350,,Mat Gamel,
276376,250,120,234,828,Nick Johnson,Y
448801,250,124,350,,Chris Davis,
452232,250,123,350,,Jason Jaramillo,
458501,250,66,350,,Luis Cruz,
455369,250,107,350,,Ramiro Pena,
458628,250,89,350,,Joe Mather,
452671,250,92,350,,Diory Hernandez,
452121,250,94,350,,Brent Lillibridge,
449172,250,82,350,,Greg Golson,
435081,250,77,350,,Mike Nickeas,
435181,250,43,350,,Jeremy Hermida,
514913,250,73,240,5519,Ruben Tejada,Y
445010,250,75,350,,Fernando Perez,
425773,250,96,220,1930,Casey Kotchman,Y
453298,250,57,350,,Colin Curtis,
451198,250,58,350,,Cole Garner,
408242,250,68,350,,Wil Nieves,
455077,250,47,350,,Mike Carp,
435623,250,35,350,,Kevin Frandsen,
122644,250,177,350,,Matt Stairs,
114739,243,223,350,,Jason Giambi,
460055,233,214,350,,"John Mayberry, Jr.",
502161,211,194,350,,Scott Cousins,
451109,211,194,350,,Brett Hayes,
425548,,,350,,Garrett Atkins,
448605,,13,350,,Justin Ruggiano,
493306,,,350,,Leslie Anderson,
137002,,,350,,Gabe Kapler,
124748,,,350,,Gregg Zaun,
