mlbamID,G,G_batting,G_defense,G_p,GS,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of
430638,3,2,3,3,0,0,0,0,0,0,0,0,0,0
430652,30,30,24,0,16,0,0,0,0,0,2,23,0,24
430663,1,0,1,1,0,0,0,0,0,0,0,0,0,0
430668,134,134,108,0,86,0,0,0,0,0,59,14,48,108
430673,58,57,58,58,0,0,0,0,0,0,0,0,0,0
430681,14,14,3,0,5,0,3,0,0,0,0,0,0,0
430683,14,13,14,14,12,0,0,0,0,0,0,0,0,0
430829,23,23,12,0,4,0,0,0,0,0,7,5,0,12
430832,92,92,90,0,92,0,4,0,1,0,0,0,90,90
430884,51,5,51,51,0,0,0,0,0,0,0,0,0,0
430895,100,100,79,0,70,0,0,29,30,26,0,0,0,0
430897,148,148,135,0,146,0,41,0,0,0,0,0,109,109
430904,32,32,32,32,31,0,0,0,0,0,0,0,0,0
430906,52,52,36,0,26,0,0,13,22,2,0,0,0,0
430910,68,68,55,0,52,52,3,0,0,0,0,0,0,0
430911,1,0,1,1,0,0,0,0,0,0,0,0,0,0
